Year,HS Level,Code,Chinese Name,English Name,Export Value,Ranking
2015,HS4,7210,經護面、鍍面或塗面之鐵或非合金鋼扁軋製品，寬度６００公厘及以上者,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated","544,564,827",12
2015,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","517,127,015",13
2015,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","514,773,923",14
2015,HS4,8534,印刷電路,Printed circuit,"479,529,579",15
2015,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","463,207,851",16
2015,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"451,076,351",17
2015,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","436,951,397",18
2015,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"423,215,047",19
2015,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","416,861,376",20
2015,HS6,854239,其他,Other,"1,184,798,605",1
2015,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"1,179,705,313",2
2015,HS6,851712,蜂巢式網路或其他無線網路電話,Telephones for cellular networks or for other wireless networks,"1,060,303,138",3
2015,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","824,077,507",4
2015,HS6,870899,其他,Other,"777,072,767",5
2015,HS6,852871,未配裝有影像顯示或螢幕者,Not designed to incorporate a video display or screen,"683,318,575",6
2015,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","662,932,998",7
2015,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"643,475,059",8
2015,HS6,852990,其他,Other,"610,898,376",9
2015,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"571,746,057",10
2015,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","517,127,015",11
2015,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","496,532,355",12
2015,HS6,853400,印刷電路,Printed circuit,"479,529,579",13
2015,HS6,870829,其他,Other,"407,258,872",14
2015,HS6,392690,其他,Other,"382,003,187",15
2015,HS6,731816,螺帽,Nuts,"344,286,978",16
2015,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","327,279,758",17
2015,HS6,852691,無線電航行輔助器具,Radio navigational aid apparatus,"310,285,897",18
2015,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","299,496,786",19
2015,HS6,854232,記憶體,Memories,"299,429,569",20
2016,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","1,984,763,970",1
2016,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,694,388,443",2
2016,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","1,584,871,135",3
2016,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,346,095,528",4
2016,HS4,8542,積體電路,Electronic integrated circuits,"1,328,759,689",5
2016,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","1,168,451,749",6
2016,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","958,919,368",7
2016,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","888,833,581",8
2016,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"820,783,733",9
2016,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","612,564,101",10
2016,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","606,451,791",11
2016,HS4,7210,經護面、鍍面或塗面之鐵或非合金鋼扁軋製品，寬度６００公厘及以上者,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated","522,540,131",12
2016,HS4,8534,印刷電路,Printed circuit,"453,316,334",13
2016,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"433,996,661",14
2016,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"422,071,938",15
2016,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","420,123,931",16
2016,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","395,188,062",17
2016,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","386,824,327",18
2016,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","386,071,699",19
2016,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"354,717,352",20
2016,HS6,854239,其他,Other,"1,123,247,113",1
2016,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"1,092,822,593",2
2016,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"778,355,261",3
2016,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","755,447,616",4
2016,HS6,852990,其他,Other,"725,912,627",5
2016,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","725,650,505",6
2016,HS6,851712,蜂巢式網路或其他無線網路電話,Telephones for cellular networks or for other wireless networks,"724,315,479",7
2016,HS6,870899,其他,Other,"716,001,028",8
2016,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","681,058,956",9
2016,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"549,216,022",10
2016,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","489,448,897",11
2016,HS6,852560,具有接收器具之傳輸器具,Transmission apparatus incorporating reception apparatus,"466,308,814",12
2016,HS6,870829,其他,Other,"454,166,711",13
2016,HS6,853400,印刷電路,Printed circuit,"453,316,334",14
2016,HS6,392690,其他,Other,"393,165,328",15
2016,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","386,071,699",16
2016,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","341,719,382",17
2016,HS6,731816,螺帽,Nuts,"307,687,347",18
2016,HS6,851770,零件,Parts,"306,048,060",19
2016,HS6,850440,靜電式變流器,Static converters,"295,753,774",20
2017,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","2,524,524,749",1
2017,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","2,119,727,325",2
2017,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,841,402,882",3
2017,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","1,555,918,682",4
2017,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,520,588,676",5
2017,HS4,8542,積體電路,Electronic integrated circuits,"1,420,466,904",6
2017,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","932,582,891",7
2017,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"894,772,221",8
2017,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","747,160,540",9
2017,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","697,362,460",10
2017,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","686,593,357",11
2017,HS4,7210,經護面、鍍面或塗面之鐵或非合金鋼扁軋製品，寬度６００公厘及以上者,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated","593,188,286",12
2017,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","497,332,142",13
2017,HS4,8534,印刷電路,Printed circuit,"465,787,850",14
2017,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"462,716,559",15
2017,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","462,473,850",16
2017,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"435,046,458",17
2017,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"406,954,168",18
2017,HS4,8528,監視器及投影機，未裝有電視接收器具；電視接收器具，不論是否裝有無線電廣播接收機或音、影錄或放器具者,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","394,791,805",19
2017,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","389,363,568",20
2017,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"1,472,541,077",1
2017,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,252,305,620",2
2017,HS6,854239,其他,Other,"1,163,455,374",3
2017,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","1,004,794,213",4
2017,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","868,488,011",5
2017,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"850,521,585",6
2017,HS6,852990,其他,Other,"767,256,747",7
2017,HS6,870899,其他,Other,"735,956,849",8
2017,HS6,851712,蜂巢式網路或其他無線網路電話,Telephones for cellular networks or for other wireless networks,"696,700,950",9
2017,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"629,746,758",10
2017,HS6,870829,其他,Other,"578,030,928",11
2017,HS6,851770,零件,Parts,"506,549,385",12
2017,HS6,853400,印刷電路,Printed circuit,"465,787,850",13
2017,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","427,606,426",14
2017,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","414,550,918",15
2017,HS6,392690,其他,Other,"395,059,136",16
2017,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","389,363,568",17
2017,HS6,731816,螺帽,Nuts,"341,526,644",18
2017,HS6,852560,具有接收器具之傳輸器具,Transmission apparatus incorporating reception apparatus,"312,358,744",19
2017,HS6,851769,其他,Other,"305,837,777",20
2018,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","2,452,887,622",1
2018,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","2,018,310,870",2
2018,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","1,928,100,269",3
2018,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,898,677,575",4
2018,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,775,046,209",5
2018,HS4,8542,積體電路,Electronic integrated circuits,"1,504,703,876",6
2018,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","1,229,806,043",7
2018,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","773,474,148",8
2018,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","760,650,649",9
2018,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"666,890,915",10
2018,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","617,835,119",11
2018,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","579,772,316",12
2018,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"494,462,062",13
2018,HS4,8534,印刷電路,Printed circuit,"453,733,713",14
2018,HS4,8486,專供或主要供製造半導體晶柱或晶圓、半導體裝置、積體電路及平面顯示器之機器及器具；本章註十一（丙）所規範之機器及器具；零件及附件,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.","453,507,958",15
2018,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","446,148,911",16
2018,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","429,860,035",17
2018,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"429,293,115",18
2018,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"422,591,662",19
2018,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","419,244,784",20
2018,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"1,918,438,756",1
2018,HS6,854239,其他,Other,"1,216,501,409",2
2018,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"1,146,610,784",3
2018,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,122,406,764",4
2018,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","1,004,120,481",5
2018,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","982,177,510",6
2018,HS6,870899,其他,Other,"767,437,767",7
2018,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"654,455,708",8
2018,HS6,870829,其他,Other,"572,097,676",9
2018,HS6,852990,其他,Other,"556,472,557",10
2018,HS6,851770,零件,Parts,"490,997,450",11
2018,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","479,076,697",12
2018,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","469,211,796",13
2018,HS6,853400,印刷電路,Printed circuit,"453,733,713",14
2018,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","446,148,911",15
2018,HS6,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元,"Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units","403,804,397",16
2018,HS6,392690,其他,Other,"389,821,562",17
2018,HS6,731816,螺帽,Nuts,"389,649,604",18
2018,HS6,848180,其他用具,Other appliances,"316,019,124",19
2018,HS6,850440,靜電式變流器,Static converters,"300,915,567",20
2019,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","5,612,902,917",1
2019,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","3,508,791,125",2
2019,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","2,840,601,092",3
2019,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,916,014,749",4
2019,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,751,810,124",5
2019,HS4,8542,積體電路,Electronic integrated circuits,"1,506,505,940",6
2019,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","1,264,137,359",7
2019,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","972,949,589",8
